"","DATE","PERIOD","R","PLANETDISCMETH","numPlanets"
"2735",2007,21.21663,1.02,"RV",35
"2736",2016,148.4603382,0.315,"Transit",1288
"2737",2014,18.735753,0.167722,"Transit",769
"2738",2016,9.91723428,0.232,"Transit",1288
"2739",2014,13.07163,0.205192,"Transit",769
"2740",2016,23.9210791,0.196,"Transit",1288
"2741",2014,18.795952,0.696762,"Transit",769
"2742",2016,0.96852602,0.105,"Transit",1288
"2743",2016,28.86235584,0.196,"Transit",1288
"2744",2014,4.301219,1.242,"Transit",769
"2745",2014,13.391635,0.0999197,"Transit",769
"2748",2014,24.209842,0.110625,"Transit",769
"2749",2014,15.995622,0.0972433,"Transit",769
"2750",2012,33.60134,0.808,"Transit",54
"2751",2016,4.76703963,0.109,"Transit",1288
"2752",2016,6.53192704,0.216,"Transit",1288
"2753",2013,2.849375,1.69,"Transit",57
"2754",2016,18.78425728,0.218,"Transit",1288
"2755",2016,31.8277111,0.158,"Transit",1288
"2758",2014,37.815724,0.115978,"Transit",769
"2759",2006,2.47063,1.224,"Transit",3
"2760",2014,20.060548,0.182889,"Transit",769
"2761",2014,13.638723,0.107057,"Transit",769
"2762",2016,14.03491514,0.213,"Transit",1288
"2763",2016,49.1013514,0.23,"Transit",1288
"2764",2016,133.4605235,0.614,"Transit",1288
"2765",2016,85.35129427,0.607,"Transit",1288
"2766",2016,8.0880135,0.243,"Transit",1288
"2769",2016,0.86838653,0.152,"Transit",1288
"2770",2015,52.501129,1.145,"Transit",27
"2771",2016,7.8866311,0.745,"Transit",1288
"2772",2016,386.370548,0.279,"Transit",1288
"2773",2014,51.805612,0.281024,"Transit",769
"2774",2016,3.78858982,0.158,"Transit",1288
"2776",2014,12.130686,0.148095,"Transit",769
"2777",2016,7.44142113,0.113,"Transit",1288
"2778",2014,15.163161,0.271211,"Transit",769
"2780",2009,4.954658,0.915,"Transit",18
"2781",2011,3.052404,1.18,"Transit",122
"2785",2014,5.315946,0.193594,"Transit",769
"2786",2014,1.937055,0.0794005,"Transit",769
"2787",2016,5.86601526,0.131,"Transit",1288
"2788",2016,6.11786898,0.092,"Transit",1288
"2790",2016,5.45849832,0.178,"Transit",1288
"2791",2016,81.1694299,0.302,"Transit",1288
"2793",2012,2.4238039,1.14,"Transit",54
"2794",2014,76.050178,0.155232,"Transit",769
"2795",2016,15.28469497,0.186,"Transit",1288
"2796",2014,3.468095,0.122223,"Transit",769
"2797",2016,62.1387714,0.235,"Transit",1288
"2798",2016,136.205626,0.232,"Transit",1288
"2799",2016,3.16789194,0.261,"Transit",1288
"2800",2010,2.828042,1.44,"Transit",66
"2801",2008,1.5089557,1.49,"Transit",14
"2803",2016,28.6851324,0.262,"Transit",1288
"2804",2016,5.74772501,0.17,"Transit",1288
"2805",2014,3.353728,0.176644,"Transit",769
"2806",2014,28.574263,0.214114,"Transit",769
"2807",2016,17.13263989,0.236,"Transit",1288
"2810",2016,14.28226676,0.19,"Transit",1288
"2811",2014,4.263742,0.115086,"Transit",769
"2813",2010,3.036179,0.101,"Transit",66
"2814",2014,5.419026,0.120439,"Transit",769
"2815",2016,14.97435694,0.12,"Transit",1288
"2816",2016,5.1856142,0.209,"Transit",1288
"2817",2016,3.76419105,0.154,"Transit",1288
"2818",2005,2.21857567,1.138,"RV",28
"2820",2016,18.49235668,0.328,"Transit",1288
"2821",2016,7.2385854,0.123,"Transit",1288
"2823",2014,11.829851,0.113302,"Transit",769
"2824",2014,6.186676,0.0999197,"Transit",769
"2825",2014,44.000529,0.132929,"Transit",769
"2826",2014,1.796302,0.110625,"Transit",769
